symbol,yf_symbol,akshare_symbol,name,market,sector_tags,market_cap,pe,float_pct,tags,is_loss,is_low_cap
01739.HK,1739.HK,01739,齐屹科技,HK,SaaS概念;行业:媒体及娱乐,2.52,-3.69,100.0,【低市值】【亏损】【高流通】,1,1
01362.HK,1362.HK,01362,新龙移动,HK,行业:资讯科技器材,2.49,37.56,100.0,【低市值】【高流通】,0,1
06899.HK,6899.HK,06899,联众,HK,"电子竞技,游戏概念;行业:软件服务",2.48,-2.13,100.0,【低市值】【亏损】【高流通】,1,1
01293.HK,1293.HK,01293,广汇宝信,HK,电子商务,2.44,-0.87,100.0,【低市值】【亏损】【高流通】,1,1
01188.HK,1188.HK,01188,正道集团,HK,行业:汽车,2.44,6.63,100.0,【低市值】【低PE】【高流通】,0,1
02223.HK,2223.HK,02223,卡撒天娇,HK,华为鸿蒙概念;行业:家庭电器及用品,2.37,-19.41,100.0,【低市值】【亏损】【高流通】,1,1
03997.HK,3997.HK,03997,电讯首科,HK,行业:资讯科技器材,2.36,-15.33,100.0,【低市值】【亏损】【高流通】,1,1
01147.HK,1147.HK,01147,伊登软件,HK,行业:软件服务,2.31,20.06,100.0,【低市值】【高流通】,0,1
01708.HK,1708.HK,01708,三宝科技,HK,行业:软件服务,2.3,-2.84,29.13,【低市值】【亏损】【低流通】,1,1
06133.HK,6133.HK,06133,维太创科,HK,"电子信息,5G概念;行业:资讯科技器材",2.29,-11.72,100.0,【低市值】【亏损】【高流通】,1,1
01094.HK,1094.HK,01094,承辉国际,HK,行业:软件服务,2.25,-1.41,100.0,【低市值】【亏损】【高流通】,1,1
03601.HK,3601.HK,03601,鲁大师,HK,游戏概念;行业:软件服务,2.23,7.73,100.0,【低市值】【低PE】【高流通】,0,1
00033.HK,0033.HK,00033,INTL GENIUS,HK,行业:家庭电器及用品,2.23,-14.43,100.0,【低市值】【亏损】【高流通】,1,1
02369.HK,2369.HK,02369,酷派集团,HK,智能穿戴;行业:资讯科技器材,2.22,-2.0,100.0,【低市值】【亏损】【高流通】,1,1
01284.HK,1284.HK,01284,新传企划,HK,行业:媒体及娱乐,2.22,17.42,100.0,【低市值】【低PE】【高流通】,0,1
00343.HK,0343.HK,00343,文化传信,HK,AIGC概念;行业:媒体及娱乐,2.22,-4.69,100.0,【低市值】【亏损】【高流通】,1,1
09600.HK,9600.HK,09600,新纽科技,HK,SaaS概念;行业:软件服务,2.15,-1.03,100.0,【低市值】【亏损】【高流通】,1,1
06033.HK,6033.HK,06033,电讯数码控股,HK,行业:资讯科技器材,2.14,56.17,100.0,【低市值】【高流通】,0,1
00591.HK,0591.HK,00591,中国高精密,HK,工业4.0,2.13,34.03,100.0,【低市值】【高流通】,0,1
02605.HK,2605.HK,02605,METALIGHT,HK,行业:媒体及娱乐,2.13,-1.51,100.0,【低市值】【亏损】【高流通】,1,1
02326.HK,2326.HK,02326,新源万恒控股,HK,电子信息,2.11,-5.56,100.0,【低市值】【亏损】【高流通】,1,1
00092.HK,0092.HK,00092,冠军科技集团,HK,行业:软件服务,2.04,-4.05,100.0,【低市值】【亏损】【高流通】,1,1
01111.HK,1111.HK,01111,华视集团控股,HK,行业:媒体及娱乐,2.04,2.59,100.0,【低市值】【低PE】【高流通】,0,1
02934.HK,2934.HK,02934,圣马丁国际(旧),HK,行业:家庭电器及用品,1.97,-1.72,100.0,【低市值】【亏损】【高流通】,1,1
01460.HK,1460.HK,01460,扬科集团,HK,行业:软件服务,1.97,11.54,100.0,【低市值】【低PE】【高流通】,0,1
01351.HK,1351.HK,01351,辉煌明天,HK,行业:媒体及娱乐,1.95,-3.22,100.0,【低市值】【亏损】【高流通】,1,1
00180.HK,0180.HK,00180,开达集团,HK,行业:家庭电器及用品,1.94,-1.02,100.0,【低市值】【亏损】【高流通】,1,1
01715.HK,1715.HK,01715,智慧健康科技,HK,行业:家庭电器及用品,1.91,-4.86,100.0,【低市值】【亏损】【高流通】,1,1
03830.HK,3830.HK,03830,童园国际,HK,行业:家庭电器及用品,1.86,-21.43,100.0,【低市值】【亏损】【高流通】,1,1
00482.HK,0482.HK,00482,圣马丁国际(新),HK,"电子信息,消费电子;行业:家庭电器及用品",1.85,-1.61,100.0,【低市值】【亏损】【高流通】,1,1
00243.HK,0243.HK,00243,QPL INT'L,HK,行业:半导体,1.84,2.8,100.0,【低市值】【低PE】【高流通】,0,1
06610.HK,6610.HK,06610,飞天云动,HK,元宇宙概念;行业:软件服务,1.81,-0.44,100.0,【低市值】【亏损】【高流通】,1,1
01132.HK,1132.HK,01132,橙天嘉禾,HK,行业:媒体及娱乐,1.79,3.18,100.0,【低市值】【低PE】【高流通】,0,1
01575.HK,1575.HK,01575,皇庭智家,HK,智能家居;行业:家庭电器及用品,1.78,-1.84,100.0,【低市值】【亏损】【高流通】,1,1
02330.HK,2330.HK,02330,中国上城,HK,电子信息,1.77,-3.17,100.0,【低市值】【亏损】【高流通】,1,1
06928.HK,6928.HK,06928,万马控股,HK,AIGC概念;行业:汽车,1.75,-7.81,100.0,【低市值】【亏损】【高流通】,1,1
08005.HK,8005.HK,08005,裕兴科技,HK,"消费电子,电子信息,区块链,数据中心;行业:家庭电器及用品",1.72,-2.67,100.0,【低市值】【亏损】【高流通】,1,1
01163.HK,1163.HK,01163,虎视传媒,HK,行业:媒体及娱乐,1.7,27.65,100.0,【低市值】【高流通】,0,1
00164.HK,0164.HK,00164,中国宝力科技,HK,行业:媒体及娱乐,1.68,-19.35,100.0,【低市值】【亏损】【高流通】,1,1
00947.HK,0947.HK,00947,摩比发展,HK,"电子信息,华为概念,5G概念;行业:资讯科技器材",1.68,-1.62,100.0,【低市值】【亏损】【高流通】,1,1
02203.HK,2203.HK,02203,脑洞科技,HK,半导体概念;行业:半导体,1.67,-4.84,100.0,【低市值】【亏损】【高流通】,1,1
00381.HK,0381.HK,00381,权识国际,HK,行业:家庭电器及用品,1.66,-1.36,100.0,【低市值】【亏损】【高流通】,1,1
01105.HK,1105.HK,01105,星岛,HK,行业:媒体及娱乐,1.66,-2.13,100.0,【低市值】【亏损】【高流通】,1,1
08106.HK,8106.HK,08106,芯化兰德,HK,行业:软件服务,1.65,136.98,56.36,【低市值】,0,1
01063.HK,1063.HK,01063,新确科技,HK,电子信息;行业:资讯科技器材,1.62,5.33,100.0,【低市值】【低PE】【高流通】,0,1
08368.HK,8368.HK,08368,中国创意控股,HK,行业:媒体及娱乐,1.62,3.27,100.0,【低市值】【低PE】【高流通】,0,1
08635.HK,8635.HK,08635,大象控股集团,HK,行业:软件服务,1.61,-8.87,100.0,【低市值】【亏损】【高流通】,1,1
00684.HK,0684.HK,00684,亚伦国际,HK,行业:家庭电器及用品,1.6,-1.88,100.0,【低市值】【亏损】【高流通】,1,1
01753.HK,1753.HK,01753,兑吧,HK,SaaS概念;行业:媒体及娱乐,1.56,-1.3,100.0,【低市值】【亏损】【高流通】,1,1
01002.HK,1002.HK,01002,威铖国际,HK,电子信息,1.56,50.63,100.0,【低市值】【高流通】,0,1
01206.HK,1206.HK,01206,同方泰德,HK,智能建筑;行业:软件服务,1.56,-0.28,100.0,【低市值】【亏损】【高流通】,1,1
08205.HK,8205.HK,08205,交大慧谷,HK,"网络安全,电子信息;行业:软件服务",1.54,-14.73,27.27,【低市值】【亏损】【低流通】,1,1
01059.HK,1059.HK,01059,看通集团,HK,行业:软件服务,1.54,7.83,100.0,【低市值】【低PE】【高流通】,0,1
08147.HK,8147.HK,08147,汇思太平洋,HK,行业:家庭电器及用品,1.53,-17.05,100.0,【低市值】【亏损】【高流通】,1,1
